Expected Z, Real Z
0, 0.000000
0, 0.000000
0, 0.002063
0, 0.004926
0, 0.006874
0, 0.009166
0, 0.017416
0, 0.022916
0, 0.028531
0, 0.030938
0, 0.032083
0, 0.033917
0, 0.040105
0, 0.040105
0, 0.049731
0, 0.051220
0, 0.053168
0, 0.055002
0, 0.056148
0, 0.052481
0, 0.052710
0, 0.055002
0, 0.052710
0, 0.049272
0, 0.049387
0, 0.049272
0, 0.057294
0, 0.059356
0, 0.055116
0, 0.055001
0, 0.055001
0, 0.053855
0, 0.052709
20, 17.502150
20, 20.025726
20, 20.044292
20, 20.070911
20, 20.090630
20, 20.104162
20, 20.123426
20, 20.138792
20, 20.151388
20, 20.175467
20, 20.191050
20, 20.209848
20, 20.224289
20, 20.239176
20, 20.249027
20, 20.262993
20, 20.277666
20, 20.289110
20, 20.299429
20, 20.305721
20, 20.319693
20, 20.330906
20, 20.340300
20, 20.353708
20, 20.364923
20, 20.375114
20, 20.384966
20, 20.400543
20, 20.414276
20, 20.427681
20, 20.442232
20, 20.453232
20, 20.467777
20, 20.477741
20, 20.485180
20, 20.495949
20, 20.505116
20, 20.517487
20, 20.523323
20, 20.535343
20, 20.543125
20, 20.547131
20, 20.554911
20, 20.561663
20, 20.574833
20, 20.581818
20, 20.591429
20, 20.597952
20, 20.606539
20, 20.615120
20, 20.630480
20, 20.633343
20, 20.643644
20, 20.653957
20, 20.662195
20, 20.676174
20, 20.682123
20, 20.687614
20, 20.693565
20, 20.706268
20, 20.712219
20, 20.719200
20, 20.724693
20, 20.730413
20, 20.736822
20, 20.750568
20, 20.757090
20, 20.768087
20, 20.781023
20, 20.792265
20, 20.802000
20, 20.809786
20, 20.819744
20, 20.838549
20, 20.852646
20, 20.867195
20, 20.880716
20, 20.888954
20, 20.903618
20, 20.918171
20, 20.926756
20, 20.934893
20, 20.942789
20, 20.953896
20, 20.977852
20, 20.986551
20, 20.997545
20, 21.007393
20, 21.015636
20, 21.033293
20, 21.048077
20, 21.061024
20, 21.068247
10, 10.626561
10, 10.187887
10, 10.201522
10, 10.209991
10, 10.222597
10, 10.238297
10, 10.246541
10, 10.255245
10, 10.268989
10, 10.273686
10, 10.283194
10, 10.294416
10, 10.301861
10, 10.309075
10, 10.319613
10, 10.336800
10, 10.350546
10, 10.359477
10, 10.368866
10, 10.383990
10, 10.399345
10, 10.409078
10, 10.428902
10, 10.442877
10, 10.454563
10, 10.462921
10, 10.475180
10, 10.485834
10, 10.497863
10, 10.508628
10, 10.516531
10, 10.525233
10, 10.541274
10, 10.550208
10, 10.559027
10, 10.562917
10, 10.568991
10, 10.581821
10, 10.594996
10, 10.604966
10, 10.611152
10, 10.619052
10, 10.625692
10, 10.638527
10, 10.646313
10, 10.659602
10, 10.683782
10, 10.693409
10, 10.700851
10, 10.713456
10, 10.723989
10, 10.738432
10, 10.751269
10, 10.763647
10, 10.773963
10, 10.782436
10, 10.796874
10, 10.808558
10, 10.823570
10, 10.833995
10, 10.848548
10, 10.853012
10, 10.866645
10, 10.874548
10, 10.880042
10, 10.895617
10, 10.904204
10, 10.910157
10, 10.916224
10, 10.921033
10, 10.932832
10, 10.938439
10, 10.942787
10, 10.953093
10, 10.965690
10, 10.972560
10, 10.983103
10, 10.990320
10, 11.000172
10, 11.019873
10, 11.031215
10, 11.043245
10, 11.045423
10, 11.053897
10, 11.060311
10, 11.068439
10, 11.073595
10, 11.089639
10, 11.102472
10, 11.113808
10, 11.117928
10, 11.129502
10, 11.142104
10, 11.148287
10, 11.151490
10, 11.159271
10, 11.167516
10, 11.347307
70, 63.897133
70, 70.339439
70, 70.984589
70, 71.023651
70, 71.058464
70, 71.090210
70, 71.125847
70, 71.152443
70, 71.185890
70, 71.211113
70, 71.237442
70, 71.269615
70, 71.302872
70, 71.329681
70, 71.355598
70, 71.370872
70, 71.397888
70, 71.431458
70, 71.448349
70, 71.464859
70, 71.483643
70, 71.500237
70, 71.511658
70, 71.532051
70, 71.551872
70, 71.563942
70, 71.585136
70, 71.609344
70, 71.620949
70, 71.640457
70, 71.660744
70, 71.685181
70, 71.695877
70, 71.711838
70, 71.722977
70, 71.735954
70, 71.747673
70, 71.758354
70, 71.775681
70, 71.784325
70, 71.803360
70, 71.817032
70, 71.825478
70, 71.840874
70, 71.847481
70, 71.860466
70, 71.866257
70, 71.879669
70, 71.891151
70, 71.906883
70, 71.918350
70, 71.930885
70, 71.941956
70, 71.949913
70, 71.961288
70, 71.966599
70, 71.985054
70, 71.991890
70, 72.005798
70, 72.020370
70, 72.030357
70, 72.045654
70, 72.062386
70, 72.068054
70, 72.081161
70, 72.088211
70, 72.102692
70, 72.110260
70, 72.118553
70, 72.123734
70, 72.131477
70, 72.137283
70, 72.148537
70, 72.161751
70, 72.169037
70, 72.174240
70, 72.186432
70, 72.198715
70, 72.204491
70, 72.215019
70, 72.224205
70, 72.231949
70, 72.236916
70, 72.250801
70, 72.256783
70, 72.267693
70, 72.269196
70, 72.275993
70, 72.282021
70, 72.293427
70, 72.298744
70, 72.310600
70, 72.321663
70, 72.335426
70, 72.345093
70, 72.357498
70, 72.363487
70, 72.371773
70, 72.386475
70, 72.395470
70, 72.410248
70, 72.416046
70, 72.420860
70, 72.425705
70, 72.436546
70, 72.446999
70, 72.457817
70, 72.464844
70, 72.474205
70, 72.484322
70, 72.490532
70, 72.500320
70, 72.501595
70, 72.508545
70, 72.514465
70, 72.527328
70, 72.535156
70, 72.539688
70, 72.544983
70, 72.553398
70, 72.558960
70, 72.571480
70, 72.577690
70, 72.583488
70, 72.586975
70, 72.596153
70, 72.600800
70, 72.606590
70, 72.607750
70, 72.619034
70, 72.621010
70, 72.626343
70, 72.639664
70, 72.646912
70, 72.648071
70, 72.653839
70, 72.663086
70, 72.669670
70, 72.679787
70, 72.687897
70, 72.694221
70, 72.696075
70, 72.703491
70, 72.704651
70, 72.709297
70, 72.714012
70, 72.724701
70, 72.728760
70, 72.742569
70, 72.751862
70, 72.761986
70, 72.767181
70, 72.771187
70, 72.780632
70, 72.789803
70, 72.797638
70, 72.800072
70, 72.806580
70, 72.817513
70, 72.824829
70, 72.830132
70, 72.835999
70, 72.841515
70, 72.846375
70, 72.853096
70, 72.860695
70, 72.869644
70, 72.880676
70, 72.895683
70, 72.902245
70, 72.907288
70, 72.911469
70, 72.919067
70, 72.923943
70, 72.930763
70, 72.937675
70, 72.941963
70, 72.944290
70, 72.948235
70, 72.957474
70, 72.962784
70, 72.969475
70, 72.973511
70, 72.975487
70, 72.979668
70, 72.986450
70, 72.989937
70, 73.000847
70, 73.003174
70, 73.011047
70, 73.019302
70, 73.027245
70, 73.030617
70, 73.035461
70, 73.038948
70, 73.041504
70, 73.051140
70, 73.056480
70, 73.065712
70, 73.070122
70, 73.072792
70, 73.077782
70, 73.085533
70, 73.093750
70, 73.098053
70, 73.106850
70, 73.110893
70, 73.118500
70, 73.125755
70, 73.129234
70, 73.135040
70, 73.138412
70, 73.142822
70, 73.150360
70, 73.153275
70, 73.159988
70, 73.160454
70, 73.165054
70, 73.168999
70, 73.171791
70, 73.179893
70, 73.184990
70, 73.189278
70, 73.194160
70, 73.200356
70, 73.208458
70, 73.214020
70, 73.224075
70, 73.233597
70, 73.236496
70, 73.245018
70, 73.251343
70, 73.255951
70, 73.263191
70, 73.270439
70, 73.278389
70, 73.281059
70, 73.288544
70, 73.289009
70, 73.294754
70, 73.302864
70, 73.303680
70, 73.303215
70, 73.308289
70, 73.319672
70, 73.328880
70, 73.332924
70, 73.336754
70, 73.339890
70, 73.346275
70, 73.347427
70, 73.350670
70, 73.361458
70, 73.366737
70, 73.375618
70, 73.373878
70, 73.380341
70, 73.388870
70, 73.400253
70, 73.404976
70, 73.412498
70, 73.415520
70, 73.421204
70, 73.428131
70, 73.434372
70, 73.439659
70, 73.441055
70, 73.444298
70, 73.450081
70, 73.452377
70, 73.459076
70, 73.460464
70, 73.465439
70, 73.467995
70, 73.477287
70, 73.479027
70, 73.484657
70, 73.488373
70, 73.496193
70, 73.501167
70, 73.507065
70, 73.511238
70, 73.514252
70, 73.519363
70, 73.520523
70, 73.524010
70, 73.531792
70, 73.535973
70, 73.546219
70, 73.552002
50, 52.053162
50, 53.590427
50, 53.590355
50, 53.588806
50, 53.589966
50, 53.589211
50, 53.587650
50, 53.589062
50, 53.587830
50, 53.588326
50, 53.589050
50, 53.589649
50, 53.586830
50, 53.590309
50, 53.588043
50, 53.585342
50, 53.587101
50, 53.587933
50, 53.587059
50, 53.590515
50, 53.591682
50, 53.591721
50, 53.588436
50, 53.587215
50, 53.587234
50, 53.587730
50, 53.583046
50, 53.588360
50, 53.585041
50, 53.584740
50, 53.585087
50, 53.587276
50, 53.586273
50, 53.587574
50, 53.588737
50, 53.586372
50, 53.583633
50, 53.581036
50, 53.581844
50, 53.576496
50, 53.576214
50, 53.573391
50, 53.575127
50, 53.577690
50, 53.578659
50, 53.579952
50, 53.579067
50, 53.577602
50, 53.579918
50, 53.581779
50, 53.585720
50, 53.586330
50, 53.585758
50, 53.590141
50, 53.590405
50, 53.590473
50, 53.589462
50, 53.590645
50, 53.591003
50, 51.410683
20, 24.929665
20, 24.536024
20, 24.541529
20, 24.547949
20, 24.558052
20, 24.557837
20, 24.562199
20, 24.565290
20, 24.568724
20, 24.572042
20, 24.572271
20, 24.576847
20, 24.583487
20, 24.583145
20, 24.589556
20, 24.594032
20, 24.597467
20, 24.601587
20, 24.604906
90, 39.564163
90, 92.702362
90, 95.563896
90, 95.557961
90, 95.605324
90, 95.667221
90, 95.719879
90, 95.766327
90, 95.818420
90, 95.858727
0, 39.612167
0, 6.939272
0, 5.679978
0, 5.680175
0, 5.678997
0, 5.681944
0, 5.685807